system:index,area_alerta_km2,bound_area_ha,id_gee,ndfi_diff,ndfi_t0,ndfi_t1,sensor,src,status,t0_cloudmask_area_ha,t0_cloudmask_area_perc,t0_period,t1_cloudmask_area_ha,t1_cloudmask_area_perc,t1_period,version,year,.geo
00000000000000000000_2021_08_3,10931.460388937427,21.33422442773572,00000000000000000000,0.24367082864046097,0.7667474150657654,0.521533876657486,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_2021_08_3,10930.763574472869,22.272727461924806,00000000000000000001,0.37017469853162766,0.7927088141441345,0.3681318461894989,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_2021_08_3,10930.782256559623,19.193142663924416,00000000000000000002,0.2586109936237335,0.8188829123973846,0.5796378552913666,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_2021_08_3,10929.17237560068,21.459571951563127,00000000000000000003,0.14991062879562378,0.7844940423965454,0.627773255109787,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_2021_08_3,10930.580209801405,27.442142911155276,00000000000000000004,0.25332972407341003,0.7560129165649414,0.49560025334358215,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_2021_08_3,10930.43833133149,18.96674623448974,00000000000000000005,0.2376089245080948,0.7863244414329529,0.5601847171783447,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_2021_08_3,10930.63499282138,21.002682772982737,00000000000000000006,0.1768706738948822,0.8169999917348226,0.6456820368766785,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_2021_08_3,10929.212103038668,23.67207920617164,00000000000000000007,0.1978456974029541,0.7870409190654755,0.5726165771484375,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_2021_08_3,10927.636521948718,20.007333432653347,00000000000000000008,0.17119350532690686,0.7721155732870102,0.6001210808753967,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_2021_08_3,10928.15431509377,24.30996900080047,00000000000000000009,0.29242485761642456,0.827870786190033,0.520394891500473,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_2021_08_3,10926.241706977258,19.77794926524425,0000000000000000000a,0.2389996349811554,0.7969807386398315,0.5333634912967682,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b_2021_08_3,10926.825468389728,22.0989277556297,0000000000000000000b,0.47357772290706635,0.7964826226234436,0.32310224572817486,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_2021_08_3,10927.121423137283,20.10507138480678,0000000000000000000c,0.17763985693454742,0.7690884470939636,0.5927636822064718,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_2021_08_3,10926.2676274853,20.77522832393856,0000000000000000000d,0.34663985172907513,0.8134607225656509,0.462967686355114,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e_2021_08_3,10927.071559435706,17.104916312704393,0000000000000000000e,0.22839923202991486,0.8224194943904877,0.5791670382022858,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f_2021_08_3,10925.016832543884,22.075382724693004,0000000000000000000f,0.2781465947628021,0.7801435887813568,0.4988251030445099,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010_2021_08_3,10925.367235513699,20.55128544071583,00000000000000000010,0.20667386054992676,0.8147748708724976,0.6045914590358734,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011_2021_08_3,10923.21672740935,23.219800844774355,00000000000000000011,0.4120543748140335,0.7977033138275147,0.38411131501197815,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012_2021_08_3,10923.606033513615,18.292563342222405,00000000000000000012,0.4823811650276184,0.756231427192688,0.27206435799598694,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013_2021_08_3,87113.35865499458,53.781085398012564,00000000000000000013,0.21025961637496948,0.7954608287130084,0.5831955472628275,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014_2021_08_3,11030.42529815571,19.646044333481168,00000000000000000014,0.3780747105677923,0.809004932641983,0.42277178168296814,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015_2021_08_3,11029.126311235328,18.110323739453644,00000000000000000015,0.20242518186569214,0.7989658713340759,0.5923007726669312,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016_2021_08_3,11029.428865847636,18.263048417884924,00000000000000000016,0.3541967421770096,0.7981564700603485,0.4268169105052948,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017_2021_08_3,11029.667992454652,18.582661018676852,00000000000000000017,0.18525362014770508,0.7989339828491211,0.6092889904975891,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018_2021_08_3,11028.539741784687,20.8415420647353,00000000000000000018,0.21136176586151123,0.8021285533905029,0.5326405962308248,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019_2021_08_3,11029.088584833478,20.517749421473155,00000000000000000019,0.21150709688663483,0.8321025967597961,0.6284514665603638,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a_2021_08_3,11026.974126418294,17.509051314365188,0000000000000000001a,0.4250268191099167,0.7760965526103973,0.34011297672986984,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b_2021_08_3,11025.719674814427,18.260178325733833,0000000000000000001b,0.34833720326423645,0.7809539139270782,0.4032796546816826,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c_2021_08_3,11026.164329936304,17.45186682594758,0000000000000000001c,0.23557040095329285,0.8046847581863403,0.5695247054100037,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d_2021_08_3,11024.33836987408,17.352612612226768,0000000000000000001d,0.36572708934545517,0.8019660413265228,0.41557398438453674,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e_2021_08_3,11024.543684570372,25.43900371880314,0000000000000000001e,0.3817937970161438,0.8270838260650635,0.4297192394733429,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f_2021_08_3,11024.560634215262,19.19359946667245,0000000000000000001f,0.1877650022506714,0.7277119755744934,0.5725193023681641,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
